scrutin,Gauche démocrate et républicaine - NUPES,La France insoumise - Nouvelle Union Populaire écologique et sociale,Socialistes et apparentés (membre de l’intergroupe NUPES),Écologiste - NUPES,alignement,objet,type,motion_censure
VTANR5L16V1,pour,pour,pour,pour,True,"la motion de censure déposée en application de l'article 49, alinéa 2, de la Constitution par Mme Mathilde Panot, MM. Boris Vallaud et Julien Bayou, Mme Cyrielle Chatelain, M. André Chassaigne et 145 de leurs collègues.",scrutin public solennel,True
VTANR5L16V1240,pour,pour,pour,pour,True,"la motion de censure déposée en application de l'article 49, alinéa 3, de la Constitution par M. Bertrand Pancher et 90 membres de l'Assemblée.",scrutin public solennel,True
VTANR5L16V1241,,,pour,,False,"la motion de censure déposée en application de l'article 49, alinéa 3, de la Constitution par Mme Marine Le Pen et 87 membres de l'Assemblée.",scrutin public solennel,True
VTANR5L16V358,pour,pour,pour,pour,True,"la motion de censure déposée en application de l'article 49, alinéa 3, de la Constitution par Mmes Cyrielle Chatelain et Mathilde Panot, MM. Boris Vallaud et André Chassaigne et 147 membres de l'Assemblée.",scrutin public solennel,True
VTANR5L16V359,,pour,,,False,"la motion de censure déposée en application de l'article 49, alinéa 3, de la Constitution par Mme Marine Le Pen et 89 membres de l'Assemblée.",scrutin public solennel,True
VTANR5L16V360,pour,pour,pour,pour,True,"la motion de censure déposée en application de l'article 49, alinéa 3, de la Constitution par M. Boris Vallaud, Mmes Mathilde Panot et Cyrielle Chatelain, M. André Chassaigne et 146 membres de l'Assemblée.",scrutin public solennel,True
VTANR5L16V486,pour,pour,pour,pour,True,"la motion de censure déposée en application de l'article 49, alinéa 3, de la Constitution par Mme Mathilde Panot et 74 membres de l'Assemblée.",scrutin public solennel,True
VTANR5L16V494,pour,pour,,pour,False,"la motion de censure déposée en application de l'article 49, alinéa 3, de la Constitution par Mme Mathilde Panot et 74 membres de l'Assemblée.",scrutin public solennel,True
VTANR5L16V632,pour,pour,,pour,False,"la motion de censure déposée en application de l'article 49, alinéa 3, de la Constitution par Mme Mathilde Panot et 74 membres de l'Assemblée.",scrutin public solennel,True
VTANR5L16V634,pour,pour,,pour,False,"la motion de censure déposée en application de l'article 49, alinéa 3, de la Constitution par Mme Mathilde Panot et 74 membres de l'Assemblée.",scrutin public solennel,True
VTANR5L16V664,pour,pour,pour,pour,True,"la motion de censure déposée en application de l'article 49, alinéa 3, de la Constitution par Mme Mathilde Panot, M. Boris Vallaud, Mme Cyrielle Chatelain, M. André Chassaigne et 144 membres de l'Assemblée.",scrutin public solennel,True
VTANR5L16V744,pour,pour,,pour,False,"la motion de censure déposée en application de l'article 49, alinéa 3, de la Constitution par Mme Mathilde Panot et 74 membres de l'Assemblée.",scrutin public solennel,True
VTANR5L16V780,pour,pour,,pour,False,"la motion de censure déposée en application de l'article 49, alinéa 3, de la Constitution par Mme Mathilde Panot et 74 membres de l'Assemblée.",scrutin public solennel,True
VTANR5L16V822,pour,pour,pour,pour,True,"la motion de censure déposée en application de l'article 49, alinéa 3, de la Constitution par M. André Chassaigne, Mme Mathilde Panot, M. Boris Vallaud, Mme Cyrielle Chatelain et 143 membres de l'Assemblée.",scrutin public solennel,True
