libelle,axe 1,axe 2,@xmlns,@xmlns:xsi,@xsi:type,codeType,libelleEdition,libelleAbrege,libelleAbrev,viMoDe,organeParent,chambre,regime,legislature,regimeJuridique,siteInternet,nombreReunionsAnnuelles,secretariat,listePays,preseance,organePrecedentRef,positionPolitique,couleurAssociee
La France insoumise - Nouvelle Union Populaire écologique et sociale,-21.86384448484059,-11.001989585684367,http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,GroupePolitique_type,GP,du groupe La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES,LFI-NUPES,"{'dateDebut': '2022-06-28', 'dateAgrement': None, 'dateFin': '2024-06-09'}",,,5ème République,16.0,,,,"{'secretaire01': None, 'secretaire02': None}",,3.0,,Opposition,#E42313
Écologiste - NUPES,-16.637927425973967,-10.387122075673178,http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,GroupePolitique_type,GP,du groupe Écologiste - NUPES,Ecolo - NUPES,ECOLO,"{'dateDebut': '2022-06-28', 'dateAgrement': None, 'dateFin': '2024-06-09'}",,,5ème République,16.0,,,,"{'secretaire01': None, 'secretaire02': None}",,10.0,,Opposition,#77AA79
Socialistes et apparentés (membre de l’intergroupe NUPES),-13.171002822352452,-6.946413829700859,http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,GroupePolitique_type,GP,du groupe Socialistes et apparentés (membre de l’intergroupe NUPES),SOC,SOC,"{'dateDebut': '2022-06-28', 'dateAgrement': None, 'dateFin': '2023-10-18'}",,,5ème République,16.0,,,,"{'secretaire01': None, 'secretaire02': None}",,6.0,,Opposition,#DF84B5
Gauche démocrate et républicaine - NUPES,-12.72828891371077,-4.702267330417344,http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,GroupePolitique_type,GP,du groupe de la Gauche démocrate et républicaine - NUPES,GDR - NUPES,GDR-NUPES,"{'dateDebut': '2022-06-28', 'dateAgrement': None, 'dateFin': '2024-06-09'}",,,5ème République,16.0,,,,"{'secretaire01': None, 'secretaire02': None}",,8.0,,Opposition,#991414
Renaissance,16.376119610276028,-1.7689045381272792,http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,GroupePolitique_type,GP,du groupe Renaissance,RE,RE,"{'dateDebut': '2022-06-28', 'dateAgrement': None, 'dateFin': '2024-06-09'}",,,5ème République,16.0,,,,"{'secretaire01': None, 'secretaire02': None}",,1.0,,Majoritaire,#61468F
Démocrate (MoDem et Indépendants),14.690159860629192,-1.3972187305947266,http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,GroupePolitique_type,GP,du groupe Démocrate (MoDem et Indépendants),Dem,DEM,"{'dateDebut': '2022-06-28', 'dateAgrement': None, 'dateFin': '2024-06-09'}",,,5ème République,16.0,,,,"{'secretaire01': None, 'secretaire02': None}",,5.0,,Minoritaire,#CE5215
Horizons et apparentés,11.092183037394852,-0.9781207047612295,http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,GroupePolitique_type,GP,du groupe Horizons et apparentés,HOR,HOR,"{'dateDebut': '2022-06-28', 'dateAgrement': None, 'dateFin': '2024-06-09'}",,,5ème République,16.0,,,,"{'secretaire01': None, 'secretaire02': None}",,6.0,,Minoritaire,#32B3CA
"Libertés, Indépendants, Outre-mer et Territoires",-5.4158737756807565,-0.9542559949077807,http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,GroupePolitique_type,GP,"du groupe Libertés, Indépendants, Outre-mer et Territoires",LIOT,LIOT,"{'dateDebut': '2022-06-28', 'dateAgrement': None, 'dateFin': '2024-06-09'}",,,5ème République,16.0,,,,"{'secretaire01': None, 'secretaire02': None}",,9.0,,Opposition,#F8D434
Non inscrit,-2.6090647512329443,0.8193700611940777,http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,GroupePolitique_type,GP,des députés non inscrits,NI,NI,"{'dateDebut': '2022-06-22', 'dateAgrement': None, 'dateFin': '2024-06-09'}",,,5ème République,16.0,,,,"{'secretaire01': None, 'secretaire02': None}",,99.0,,,#8D949A
Les Républicains,1.1122403194460488,4.522974492980168,http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,GroupePolitique_type,GP,du groupe Les Républicains,LR,LR,"{'dateDebut': '2022-06-28', 'dateAgrement': None, 'dateFin': '2024-06-09'}",,,5ème République,16.0,,,,"{'secretaire01': None, 'secretaire02': None}",,4.0,,Opposition,#4565AD
Rassemblement National,-11.72744405675363,16.48848706430863,http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,GroupePolitique_type,GP,du groupe Rassemblement National,RN,RN,"{'dateDebut': '2022-06-28', 'dateAgrement': None, 'dateFin': '2024-06-09'}",,,5ème République,16.0,,,,"{'secretaire01': None, 'secretaire02': None}",,2.0,,Opposition,#35495E
