,civ,mots,mots,texte,seance,parole,interruption
,first,sum,mean,count,<lambda>,sum,sum
nom,,,,,,,
Laporte,Mme,231372,20.74713055954089,11152,110,6787,443
Chenu,M.,222493,19.88142257170941,11191,195,6546,963
Tanguy,M.,99024,73.02654867256638,1356,179,751,586
Dessigny,M.,54276,19.47470398277718,2787,339,371,2390
Le Pen,Mme,49891,63.962820512820514,780,124,461,318
de Fournas,M.,43919,45.04512820512821,975,155,398,498
Jacobelli,M.,43814,25.370005790387957,1727,208,352,1373
Meurin,M.,43549,62.391117478510026,698,98,451,245
Mauvieux,M.,32314,105.60130718954248,306,82,249,44
Lavalette,Mme,31873,64.52024291497976,494,121,217,271
Guitton,M.,31612,105.72575250836121,299,60,262,29
Ménagé,M.,30480,48.924558587479936,623,139,192,420
de Lépinau,M.,30008,76.74680306905371,391,96,289,90
Loubet,M.,28097,82.15497076023392,342,51,285,57
Houssin,M.,27242,136.89447236180905,199,37,188,9
Bentz,M.,26950,80.44776119402985,335,89,211,63
Diaz,Mme,26501,84.13015873015873,315,67,258,48
Gillet,M.,25748,91.95714285714286,280,67,205,68
Odoul,M.,25418,44.59298245614035,570,86,297,256
Bordes,Mme,22622,91.58704453441295,247,33,242,5
Sabatou,M.,22120,114.02061855670104,194,43,155,33
Lottiaux,M.,21824,121.24444444444444,180,59,127,53
Lopez-Liguori,M.,21406,123.02298850574712,174,48,148,23
Falcon,M.,21126,112.37234042553192,188,34,180,8
Salmon,M.,20561,23.90813953488372,860,214,169,677
Berteloot,M.,20400,89.86784140969164,227,67,140,75
Masson,M.,20253,110.07065217391305,184,47,149,35
Chudeau,M.,19505,87.86036036036036,222,66,151,62
Schreck,M.,18569,116.05625,160,34,153,4
Parmentier,Mme,16919,31.624299065420562,535,123,130,405
Rancoule,M.,16699,110.58940397350993,151,42,123,24
Cabrolier,M.,16627,73.89777777777778,225,67,112,109
Giletti,M.,16516,101.95061728395062,162,31,111,51
Paris,Mme,16447,121.82962962962964,135,42,117,10
Mélin,Mme,16242,205.59493670886076,79,27,76,3
Dragon,M.,16024,89.02222222222223,180,46,162,17
Meizonnet,M.,14637,66.53181818181818,220,69,114,98
Dogor-Such,Mme,14511,112.48837209302326,129,41,111,1
Roullaud,Mme,14442,73.30964467005076,197,80,95,86
Robert-Dehault,Mme,13589,149.32967032967034,91,40,73,11
Lorho,Mme,13580,181.06666666666666,75,35,58,5
Pfeffer,M.,13499,93.74305555555556,144,44,94,50
Catteau,M.,13308,95.05714285714286,140,58,97,42
Frappé,M.,13070,151.97674418604652,86,37,82,0
Blairy,M.,12967,140.94565217391303,92,30,79,9
Galzy,Mme,12468,115.44444444444444,108,48,91,14
Tivoli,M.,12014,134.98876404494382,89,41,76,12
Ballard,M.,11628,70.04819277108433,166,58,105,53
Colombier,Mme,11180,82.20588235294117,136,51,89,44
Gonzalez,M.,11155,128.2183908045977,87,25,80,6
Engrand,Mme,10975,186.01694915254237,59,20,58,0
Jolly,M.,10805,146.01351351351352,74,25,70,0
Guiniot,M.,10631,183.29310344827587,58,25,49,8
Marchio,M.,10594,111.51578947368421,95,44,72,23
Ranc,Mme,10549,146.51388888888889,72,31,58,3
Taverne,M.,10100,67.33333333333333,150,57,104,46
Lechanteux,Mme,10069,63.327044025157235,159,55,67,92
Allisio,M.,9414,168.10714285714286,56,25,50,6
Taché de la Pagerie,M.,9412,62.33112582781457,151,42,64,87
François,M.,9066,63.84507042253521,142,48,70,72
Villedieu,M.,8065,90.61797752808988,89,30,68,16
Goulet,Mme,8061,120.31343283582089,67,40,52,14
Baubry,M.,7688,114.74626865671642,67,22,63,3
Lelouis,Mme,7396,125.35593220338983,59,20,59,0
Blanc,Mme,7362,223.0909090909091,33,22,27,5
Muller,M.,6988,158.8181818181818,44,24,40,4
Hamelet,Mme,6917,113.39344262295081,61,22,45,13
Buisson,M.,6914,52.378787878787875,132,51,39,93
Boccaletti,M.,6871,19.139275766016713,359,147,43,316
Bilde,M.,6120,97.14285714285714,63,26,34,27
Levavasseur,Mme,6040,134.22222222222223,45,20,38,7
Pollet,Mme,5733,147.0,39,24,22,10
Menache,Mme,5287,47.630630630630634,111,36,37,69
Cousin,Mme,5212,100.23076923076923,52,23,43,9
Grangier,Mme,5039,173.75862068965517,29,15,26,3
Martinez,Mme,4807,102.27659574468085,47,24,37,9
Barthès,M.,4616,72.125,64,31,32,31
Loir,Mme,4518,98.21739130434783,46,20,35,3
Jaouen,Mme,3421,142.54166666666666,24,9,20,3
Bovet,M.,3090,85.83333333333333,36,15,23,8
Sabatini,Mme,2834,128.8181818181818,22,8,21,1
Auzanot,Mme,2629,101.11538461538461,26,13,19,6
Rambaud,M.,2567,183.35714285714286,14,9,13,1
Hébrard,M.,2370,197.5,12,7,9,3
Grenon,M.,1847,167.9090909090909,11,6,10,1
Beaurain,M.,1784,29.24590163934426,61,31,9,52
Girard,M.,1552,172.44444444444446,9,7,7,2
Frigout,Mme,1054,131.75,8,4,8,0
Da Conceicao Carvalho,Mme,621,77.625,8,4,5,3
